CustomerKey,Customer,Address,Gender,Status
11000,Jon Yang,3761 N. 14th St,M,M
11001,Eugene Huang,2243 W St.,M,S
11002,Ruben Torres,5844 Linden Land,M,M
11003,Christy Zhu,1825 Village Pl.,F,S
11004,Elizabeth Johnson,7553 Harness Circle,F,S
11005,Julio Ruiz,7305 Humphrey Drive,M,S
11006,Janet Alvarez,2612 Berry Dr,F,S
11007,Marco Mehta,942 Brook Street,M,M
11008,Rob Verhoff,624 Peabody Road,F,S
11009,Shannon Carlson,3839 Northgate Road,M,S
11010,Jacquelyn Suarez,7800 Corrinne Court,F,S
11011,Curtis Lu,1224 Shoenic,M,M
11012,Lauren Walker,4785 Scott Street,F,M
11013,Ian Jenkins,7902 Hudson Ave.,M,M
11014,Sydney Bennett,9011 Tank Drive,F,S
11015,Chloe Young,244 Willow Pass Road,F,S
11016,Wyatt Hill,9666 Northridge Ct.,M,M
11017,Shannon Wang,7330 Saddlehill Lane,F,S
11018,Clarence Rai,244 Rivewview,M,S
11019,Luke Lal,7832 Landing Dr,M,S
11020,Jordan King,7156 Rose Dr.,M,S
11021,Destiny Wilson,8148 W. Lake Dr.,F,S
11022,Ethan Zhang,1769 Nicholas Drive,M,M
11023,Seth Edwards,4499 Valley Crest,M,M
11024,Russell Xie,8734 Oxford Place,M,M
11025,Alejandro Beck,2596 Franklin Canyon Road,M,M
11026,Harold Sai,8211 Leeds Ct.,M,S
11027,Jessie Zhao,213 Valencia Place,M,M
11028,Jill Jimenez,9111 Rose Ann Ave,F,M
11029,Jimmy Moreno,6385 Mark Twain,M,M
11030,Bethany Yuan,636 Vine Hill Way,F,M
11031,Theresa Ramos,6465 Detroit Ave.,F,M
11032,Denise Stone,626 Bentley Street,F,M
11033,Jaime Nath,5927 Rainbow Dr,M,M
11034,Ebony Gonzalez,5167 Condor Place,F,M
11035,Wendy Dominguez,1873 Mt. Whitney Dr,F,M
11036,Jennifer Russell,3981 Augustine Drive,F,M
11037,Chloe Garcia,8915 Woodside Way,F,S
11038,Diana Hernandez,8357 Sandy Cove Lane,F,M
11039,Marc Martin,9353 Creekside Dr.,M,M
11040,Jesse Murphy,3350 Kingswood Circle,M,M
11041,Amanda Carter,5826 Escobar,F,M
11042,Megan Sanchez,1397 Paraiso Ct.,F,M
11043,Nathan Simmons,1170 Shaw Rd,M,M
11044,Adam Flores,6935 Candle Dr,M,M
11045,Leonard Nara,7466 La Vista Ave.,M,S
11046,Christine Yuan,2356 Orange St,F,M
11047,Jaclyn Lu,2812 Mazatlan,F,M
11048,Jeremy Powell,1803 Potomac Dr.,M,M
11049,Carol Rai,6064 Madrid,F,S
11050,Alan Zheng,2741 Gainborough Dr.,M,M
11051,Daniel Johnson,8085 Sunnyvale Avenue,M,S
