SalesOrderNumber,Date,Customer,Territory,Country,Region,Product,Subcategory,Category,Cost,Quantity,Price,Tax
SO43793,19/01/2018,Jon Yang,Pacific,Australia,Australia,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,19,3399.99,272
SO43767,15/01/2018,Eugene Huang,Pacific,Australia,Australia,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,15,3374.99,270
SO43736,07/01/2018,Ruben Torres,Pacific,Australia,Australia,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,7,3399.99,272
SO43701,01/01/2018,Christy Zhu,Pacific,Australia,Australia,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,1,3399.99,272
SO43810,23/01/2018,Elizabeth Johnson,Pacific,Australia,Australia,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,23,3399.99,272
SO43704,01/01/2018,Julio Ruiz,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,1,3374.99,270
SO43819,24/01/2018,Janet Alvarez,Pacific,Australia,Australia,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,24,3399.99,272
SO43743,09/01/2018,Marco Mehta,Pacific,Australia,Australia,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,1912.15,9,3399.99,272
SO43826,25/01/2018,Rob Verhoff,Pacific,Australia,Australia,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.09,25,3374.99,270
SO43837,27/01/2018,Shannon Carlson,Pacific,Australia,Australia,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,27,3374.99,270
SO43765,14/01/2018,Jacquelyn Suarez,Pacific,Australia,Australia,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,14,3399.99,272
SO43705,01/01/2018,Curtis Lu,Pacific,Australia,Australia,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,1,3399.99,272
SO43757,12/01/2018,Shannon Wang,Pacific,Australia,Australia,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,12,3374.99,270
SO43778,17/01/2018,Clarence Rai,Pacific,Australia,Australia,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,17,3399.99,272
SO43732,06/01/2018,Alejandro Beck,Pacific,Australia,Australia,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,6,3374.99,270
SO43811,23/01/2018,Harold Sai,Pacific,Australia,Australia,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,23,3399.99,272
SO43775,16/01/2018,Jessie Zhao,Pacific,Australia,Australia,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,1912.15,16,3399.99,272
SO43831,26/01/2018,Jill Jimenez,Pacific,Australia,Australia,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.09,26,3374.99,270
SO43794,19/01/2018,Jimmy Moreno,Pacific,Australia,Australia,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,1912.15,19,3399.99,272
SO43956,05/02/2018,Bethany Yuan,Pacific,Australia,Australia,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,5,3399.99,272
SO43933,01/02/2018,Theresa Ramos,Pacific,Australia,Australia,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,1912.15,1,3399.99,272
SO44021,18/02/2018,Denise Stone,Pacific,Australia,Australia,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.09,18,3374.99,270
SO43998,15/02/2018,Jaime Nath,Pacific,Australia,Australia,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.09,15,3374.99,270
SO43934,01/02/2018,Ebony Gonzalez,Pacific,Australia,Australia,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,1,3399.99,272
SO43959,06/02/2018,Wendy Dominguez,Pacific,Australia,Australia,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.09,6,3374.99,270
SO43965,07/02/2018,Diana Hernandez,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,7,3374.99,270
SO43966,07/02/2018,Marc Martin,Pacific,Australia,Australia,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,1912.15,7,3399.99,272
SO44073,28/02/2018,Adam Flores,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,28,3374.99,270
SO43960,06/02/2018,Christine Yuan,Pacific,Australia,Australia,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.09,6,3374.99,270
SO43948,03/02/2018,Jaclyn Lu,Pacific,Australia,Australia,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,3,3399.99,272
SO43980,10/02/2018,Jeremy Powell,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,10,3374.99,270
SO44029,20/02/2018,Alan Zheng,Pacific,Australia,Australia,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,20,3374.99,270
SO44012,17/02/2018,Heidi Lopez,Pacific,Australia,Australia,"Mountain-100 Black, 42",Mountain Bikes,Bikes,1898.09,17,3374.99,270
SO43944,03/02/2018,Deanna Munoz,Pacific,Australia,Australia,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,3,3399.99,272
SO43926,31/01/2018,Gilbert Raje,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,31,3374.99,270
SO44058,26/02/2018,Michele Nath,Pacific,Australia,Australia,"Mountain-100 Black, 44",Mountain Bikes,Bikes,1898.09,26,3374.99,270
SO44040,22/02/2018,Carl Andersen,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,22,3374.99,270
SO44180,09/03/2018,Marc Diaz,Pacific,Australia,Australia,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,1912.15,9,3399.99,272
SO44220,19/03/2018,Jon Zhou,Pacific,Australia,Australia,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,19,3399.99,272
SO44190,13/03/2018,Todd Gao,Pacific,Australia,Australia,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.09,13,3374.99,270
SO44416,17/04/2018,Carolyn Navarro,Pacific,Australia,Australia,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,1912.15,17,3399.99,272
SO44467,28/04/2018,Willie Raji,Pacific,Australia,Australia,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,1912.15,28,3399.99,272
SO44323,31/03/2018,Casey Luo,Pacific,Australia,Australia,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,31,3399.99,272
SO44468,28/04/2018,Felicia Jimenez,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,28,3374.99,270
SO44437,21/04/2018,Blake Anderson,Pacific,Australia,Australia,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,1912.15,21,3399.99,272
SO44407,15/04/2018,Leah Ye,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,15,3374.99,270
SO44379,10/04/2018,Damien Chander,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,10,3374.99,270
SO45389,07/08/2018,Trevor Bryant,North America,United States,Southwest,"Road-150 Red, 62",Road Bikes,Bikes,2171.29,7,3578.27,286.26
SO44364,08/04/2018,Cheryl Diaz,Pacific,Australia,Australia,"Mountain-100 Black, 38",Mountain Bikes,Bikes,1898.09,8,3374.99,270
SO44355,07/04/2018,Aimee He,Pacific,Australia,Australia,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,1912.15,7,3399.99,272
SO44325,01/04/2018,Chad Kumar,Pacific,Australia,Australia,"Mountain-100 Black, 48",Mountain Bikes,Bikes,1898.09,1,3374.99,270
